Name	Total
Ryley Towler	134
Johann Lepenant	150
Owura Edwards	133
Matías Godoy	144
Noah Jean Holm	145
Samson Tovide	130
Junior Luamba	127
Fisayo Dele-Bashiru	132
Sergio Arribas Calvo	142
Viljami Sinisalo	127
Cameron Archer	144
Beau Reus	133
Teddy Jenks	133
Matisse Samoise	145
Matěj Polidar	145
André Filipe Eusébio Paulo	136
Fernando Tapia	134
Ali Alipour	137
Sambou Sissoko	133
Ousmane Doumbia	138
Jamil Siebert	136
Joel Ideho	141
Steven Bradley	130
Ramón Terrats Espacio	148
Check Oumar Diakité	146
Berkan Kutlu	143
Phurba Lachenpa	114
Fin Stevens	140
Luis Olivas	134
César Araújo	147
Gustavo Del Prete	150
Peer Koopmeiners	136
Alejandro Millán Iranzo	144
Radu Drăgușin	149
Kerr Smith	140
Mario Stroeykens	142
Mamor Niang	135
John Patrick Finn Benoa	137
Mamadi Caba Camará	139
Ángel García	126
Syb van Ottele	133
Sunusi Ibrahim	134
Joel Chima Fujita	141
Luis Hartwig	137
Jeredy Hilterman	132
Pablo Gozálbez Gilabert	145
Jay Stansfield	145
Anis Slimane	146
Peter Kioso	139
Joaquín Sosa	142
Rodrigo Villagra	148
Geon Hee Lee	107
Isaac Nuhu	142
Samuel Almeida Costa	151
Thiago Rodrigues de Souza	131
Ramón Sosa	140
Björn Hardley	141
Gastón Martirena	142
Magnus Bækken	121
Mamoudou Karamoko	140
Javier López Carballo	148
Jefferson Arce	135
Agustin Oliveros	145
Moisés Ramírez	148
Renné Rivas	144
Emmanuel Longelo	124
Joaquín Zeballos	132
Francho Serrano Gracia	146
Stephan Seiler	128
Patrick Ferry	108
Luciano Arriagada	141
Jesper Daland	148
Jessic Ngankam	147
Jean-Philippe Krasso	137
Dennis Cirkin	141
Malik Tillman	144
Taylor Booth	137
Torben Rhein	137
Christopher Scott	142
Xavier Dziekoński	139
Andrea Carboni	147
Lenn Jastremski	133
Henrik Heggheim	143
Paul Nebel	144
Ziyad Larkeche	128
Ciaran Gilligan	133
Filip Bundgaard	130
Fabiano Josué de Souza Silva	146
Yanis Hamache	153
Charlie Wiggett	136
Josh Brooking	140
Max Thompson	129
Iwo Kaczmarski	137
Nick Bätzner	147
Ariel Mosór	137
Rubin Colwill	146
Charlie Wellens	136
Matheo Raab	143
Jesús Alcantar	125
Jordan Carrillo	134
Dustin Willms	128
Grigore Turda	133
Héctor Holguín	129
Marco Rente	140
Sambou Soumano	139
Ionuț Mitran	129
Pape Ndiaga Yade	141
Rassoul Ndiaye	139
Flavius Daniliuc	152
Riccieli da Silva Júnior	147
Leighton Clarkson	141
Enric Franquesa Dolz	145
Hjalmar Ekdal	144
Mohsen Abdullah	117
Matchoi Bobó Djaló	146
Joshua Oluwayemi	134
Anthony Rouault	148
Sotiris Alexandropoulos	150
Cristian Avram	124
Marco Sala	144
Elías López	142
Ruslan Neshcheret	145
Morgan Whittaker	134
Ibrahim Bakare	121
Leon Flach	142
Gabriele Zappa	138
Amadou Dante	145
Robert Navarro Muñoz	149
Giannis Michailidis	149
Santiago Pierotti	146
Félix Alexandre A. Sanches Correia	142
Aiyegun Tosin	145
Adrián Rodríguez Giménez	134
Rodrigo Fernández	135
Federico Martínez	143
Enzo Martínez	144
Kevin Alaníz	133
Martin Távara	146
Ignacio Ramírez	148
Ricardo Alves	129
Shaowen Liang	124
Andrés Ferro	143
Ronan Boyce	133
Gastón González	146
Dmitriy Chistyakov	144
George Acosta	124
Nando Pijnaker	138
Zsolt Nagy	132
Zeno Debast	139
Nathanael Ogbeta	144
Conor Grant	130
Georges Mikautadze	147
Kélian Nsona	140
Lucas Da Cunha	150
Marcos Montiel	133
Marcel Guaramato	130
Sontje Hansen	147
Maximiliano Araújo	149
Sam Perry	131
Christian Saydee	134
Germán Valera Karabinaite	145
Ilya Shkurin	138
Jesús Rivas	134
Azzedine Ounahi	145
Santeri Väänänen	135
Manuel Castro	145
DeJuan Jones	145
Mark Sykes	137
Enzo Díaz	151
Gianluca Gaetano	133
Tobias Gulliksen	140
Pavel Šulc	151
Andrés Colorado	145
Alfonso Espino	152
Josh Benson	137
James Olayinka	132
Ante Palaversa	149
David Rui de Kong Cardoso	124
Dylan Mbayo	141
Lyndon Dykes	144
Andy Pelmard	154
David Ochoa	143
Luca Unbehaun	142
Edgar González Estrada	155
Paul Glatzel	129
Léo Leroy	142
Hvicha Kvaracheliya	137
Tae Hwan Kim	143
Vincent Gembalies	128
Kyle John	140
Maxen Kapo	125
Griffin Yow	129
Darius Olaru	148
Claudiu Petrila	148
Min Kyu Song	151
Jonas Carls	136
Thierno Ballo	140
Roberto Mălăele	130
Cheikh Niasse	146
Peter Bjur	136
Amadou Traoré	140
Leo Greiml	145
Anis Mehmeti	142
Pathé Ciss	143
Saïd Bakari	134
Patrick Osterhage	141
Maximilian Franzke	131
Sirlord Conteh	131
Hussain Al Eissa	131
Thibo Somers	143
Jim Allevinah	142
Darragh Burns	138
Mateo Klimowicz	146
Harvey Saunders	118
Fabian Nürnberger	146
Laurenz Dehl	135
Marley Aké	147
Luis Díaz	141
Shon Weissman	155
Nuno Miguel Valente Santos	152
Frederik Jäkel	145
Meschack Elia	150
Dean Huiberts	140
Abu Francis	141
Fernando Dos Santos Pedro	152
Pol Lozano Vizuete	150
Ondřej Kolář	152
Cammy MacPherson	129
Simon Sohm	139
Tashreeq Matthews	140
Jules Keita	136
Petar Musa	153
Kamal Sowah	151
Jonas David	143
Blessing Eleke	136
Carlos Benavídez	144
Vladimir Loroña	149
Bruno Xavier Almeida Costa	154
Yohann Magnin	143
Joseph Hungbo	136
Mamadou Loum	149
Dong Kyung Lee	145
Julián López	139
Javier Sánchez de Felipe	151
Ahmet Gürleyen	136
Leandro Barreiro Martins	152
Kingsley Michael	142
Thomas van den Belt	140
Louie Sibley	146
Güven Yalçın	145
Hernán Rivero	138
Adolfo Gaich	143
Hicham Boussefiane	140
Isaac Olaofe	130
Víctor Gómez Perea	150
Iddrisu Baba	153
Alejandro Blanco Sánchez	145
Willer Ditta	141
Dylan Chambost	142
Joel King	142
Marcos López	144
Benrandy Abdallah	126
Andrés Perea	144
Ángelo Preciado	144
Henry Vaca	148
Iván Jaime Pajuelo	154
Aleksandar Jukic	140
Mads Hermansen	146
Luc Ihorst	138
Stiven Plaza	141
Mehdi Boudjemaa	136
Ezequiel Bullaude	151
Kion Etete	137
Kalidou Sidibé	139
Valery Fernández Estrada	148
Agustín Urzi	155
Giovanni Haag	143
Charlie Kelman	135
Niklas-Wilson Sommer	133
Bruno Lourenço Pinto Almeida Paz	141
Giulian Biancone	149
Saud Abdulhamid	146
Mohamed Airam Ramos Wade	142
Andrew Lyons	136
Nicolás Díaz	148
Roger Brugué Ayguade	139
Benjamín Garré	147
Viktor Johansson	140
Jack Lahne	135
Modibo Sagnan	153
Birk Risa	140
Keaton Parks	144
Abdou Harroui	153
Eulânio Ângelo Chipela Gomes	145
Pep Biel Mas Jaume	147
Omar Fernández	150
Hampus Finndell	143
Ibrahim Mahnashi	132
Luis Milla Manzanares	159
Edo Kayembe	148
Brian Maher	133
Alejo Antilef	141
Luca Ashby-Hammond	129
Agostino Rizzo	141
Yonathan Andia	140
Francisco Jesús Crespo García	141
Stephan Ambrosius	145
Joshua Kitolano	140
João Gervásio Bragança Moutinho	142
Isaac Twum	131
Kristian Thorstvedt	151
Allan Arigoni	126
Robin Kehr	138
Callum Morton	138
Nicușor Bancu	142
Vladimir Screciu	144
Julian Guttau	137
Adam Lewis	130
Adrian Benedyczak	142
Przemysław Wiśniewski	139
Frederik Winther	138
Luis Miguel Quezada	135
José Gurrola	133
Iker Pozo La Rosa	129
Ryan Edmondson	128
Mert Müldür	151
Mahdi Camara	152
Ethan Galbraith	140
David José Gomes O. Tavares	138
Borja Garcés Moreno	149
Callum McCowatt	139
Jack Nolan	122
Gianluca Simeone	131
David Philipp	135
D'Mani Mellor	132
Muhammed Kiprit	139
Tarsis Bonga	133
Daniel-Kofi Kyereh	151
Batista Mendy	148
Amir Rrahmani	158
Adrian Šemper	151
Kosei Tani	144
Mateus da Silva Vital Assumpção	145
Magnus Warming	131
Jørgen Strand Larsen	148
Quentin Maceiras	137
Ermedin Demirović	151
Cristian Ganea	142
Jelle Bataille	148
Kaj Sierhuis	144
Amine Talal	129
Thomas Galdames	143
Melle Meulensteen	143
Andreaw Gravillon	152
Godfried Roemeratoe	140
Gerzino Nyamsi	154
Alan Cervantes	151
Jonathan Levi	141
Harald Nilsen Tangen	140
Fridolin Wagner	133
Masaya Okugawa	152
Alberto Ocejo	138
Edon Zhegrova	151
Bryan Acosta	140
Steven Sessegnon	143
Dylan Batubinsika	141
Eldor Shomurodov	149
Rayane Aabid	140
Luca Plogmann	139
Kunde Malong	147
Elvis Rexhbeçaj	150
Tyrese Shade	131
Pontus Silfwer	116
Fernando Gorriarán	157
Lewis Gibson	136
Sambou Sissoko	134
Miguel de la Fuente	150
Mitchell Clark	133
Archie Collins	134
Franco Torgnascioli	144
Josef Bursik	147
Lasse Sørensen	134
Edgar Elizalde	135
José Alonso Lara	142
Anthony Scully	141
Ajibola Alese	134
Lenny Pintor	139
Nahuel Tenaglia	153
Cameron Gregory	119
Oleg Reabciuk	146
Cyrille Bayala	139
Théo Sainte-Luce	140
Joseph Paintsil	146
Jannis Kübler	139
Jordan Stevens	132
Rayhaan Tulloch	136
Jamie Soule	126
James Morton	127
Benjamin Kimpioka	119
Pyry Soiri	122
Moritz Jenz	140
Jordan Storey	144
Rafael Mújica García	139
Dennis Geiger	155
Srđan Babić	148
Victor Nelsson	155
Abdul Mumin	148
Berkay Özcan	149
Luther James-Wildin	128
Răzvan Marin	149
Fabio Depaoli	149
Mamadou Fofana	143
Leonardo Marson	128
Matías Zaracho	160
Luís Alberto García	144
Cameron John	131
Alfie Whiteman	139
Pedro Aquino	155
Jake Vokins	136
Cédric Zesiger	147
Alessandro Plizzari	144
Julien Ngoy	141
Harry Darling	142
Jiří Pavlenka	157
Marco Farfan	139
Jacob Brown	143
Dominik Franke	138
Jonas Dakir	122
Mallik Wilks	146
Vasilios Xenopoulos	133
Tomás Guidara	149
Tashan Oakley-Boothe	137
Silas Gnaka	137
Moussa Wagué	148
Ryan Schofield	141
Nathan Bishop	138
Antoine Leautey	137
Ashley Maynard-Brewer	134
Kévin Denkey	143
Alfie May	134
Bryan Passi	135
Ryotaro Meshino	144
Lumor Agbenyenu	150
Philipp Förster	147
Marco Friedl	151
Ajdin Hrustić	147
DJ Buffonge	139
Tosin Kehinde	143
Abdullah Al Khaibari	140
Nya Kirby	130
Will Smallbone	143
Mama Samba Baldé	151
Nahuel Barrios	142
Chidera Ejuke	157
Alfie Lewis	134
Beni Baningime	147
Bruno Rafael R. do Nascimento	137
Carlos Vargas	141
Florinel Coman	146
Mamadou Coulibaly	143
Nikolas Nartey	144
Diego Zabala	144
Thomas Olivier Amang	134
Hayao Kawabe	139
Koki Machida	143
Gaku Shibasaki	138
Takuya Iwanami	139
Tsukasa Morishima	144
Rodrigo Aliendro	150
Marcos Minetti	126
Finn Stokkers	134
Joe Riley	130
Marcel Hartel	143
Andreas Skovgaard	129
Viktor Tranberg	137
Agyemang Diawusie	133
Noah Joel Sarenren Bazee	143
Riley McGree	147
Jesús Angulo	147
Yakou Méïté	147
Jonathan Okita	139
Fredrik Andre Bjørkan	152
Carlos Cuesta	151
Mamadou Fall	140
Leonardo Duarte da Silva	147
Liam Cullen	138
Ronaldo Augusto Vieira Nan	150
Sam Field	143
Lukas Mühl	144
Johan Hove	146
Anthony Ralston	148
Gonzalo Escobar	149
Felipe Araruna Hoffmann	132
Leo Väisänen	147
Myziane Maolida	147
İrfan Can Eğribayat	149
Rémy Descamps	141
Johannes Eggestein	146
Emanuel Reynoso	155
Bakery Jatta	147
Jordan Lotomba	153
Chanathip Songkrasin	142
Nathan Baxter	143
Joseph Colley	133
Yoane Wissa	153
Domingos Sousa Menezes Duarte	159
Ivan Oblyakov	155
Gaëtan Coucke	143
Max Besuschkow	145
Yannick Gomis	132
Lucas Robertone	157
Sergio Díaz	145
Luke Thomas	130
Bryan Lozano	136
Jimmy Dunne	145
Mohanad Jeahze	139
Giacomo Vrioni	139
Pedro Filipe Barbosa Moreira	148
Carlos Rodríguez	155
Dara O'Shea	149
Marshall Munetsi	151
Mads Pedersen	145
Cristian Gutiérrez	139
Jacek Góralski	146
Tsiy-William Ndenge	136
Georgiy Dzhikiya	155
Mauricio Affonso	134
Alexander Munksgaard	139
Sandro Lauper	145
Abdülkerim Bardakcı	147
Andrey Lunev	154
Emmanuel Osadebe	123
Axel Disasi	157
Joseph Aidoo	157
Youssef Aït Bennasser	150
Oumar Gonzalez	140
Vinicius Lúcio Cardenha Caeiro	148
Héniton Enaldo Pires Tramontino	160
Osvaldo Murilo Lodeiro Ferreira	146
Everton Jorge Simão Resende	156
Kauê Enaldo Lima Rodrigues	148
Alberto Marcelo Dutra Cirino	156
Davi Alexandre Parrela Ferreira	150
Leôncio Roger Lobeiro Cunha	140
Rafael Jorgino Cachoira Rebelo	150
Lyanco Neves Vojnovic	151
Gautier Larsonneur	149
Nuno Miguel da Costa Jóia	140
Corey Blackett-Taylor	132
Brandon Hanlan	138
Ádám Nagy	144
Adriel Ba Loua	146
Filip Krovinović	146
Casimir Ninga	140
Stefan Marinović	136
Domen Črnigoj	139
Kelvin Amian	152
Peter Vindahl Jensen	147
Braian Cufré	149
Jérémy Gélin	144
Nicolas Janvier	142
Morgan Poaty	136
Joris Gnagnon	144
Mitchell van Bergen	150
Jonathan Montiel Caballero	145
Trevor Clarke	125
Randell Williams	135
Masato Kudo	126
Daniel Sundgren	142
Marko Grujić	155
Conor Masterson	137
Felix Uduokhai	157
Anton Donkor	134
Allan Rodrigues de Souza	147
Cy Goddard	121
Josip Posavec	142
Ebou Adams	133
Federico Ricca	145
Diallang Jaiyesimi	139
Elias Cobbaut	147
Nathan Broadhead	136
Gaetano Castrovilli	158
Jorge Sáenz de Miera	144
Vincent Koziello	141
Alejandro Berenguer Remiro	161
Mathias Rasmussen	137
Mads Døhr Thychosen	140
Bruno Miguel Boialvo Gaspar	138
Ahmet Oğuz	144
Martín Campaña	148
Conor Chaplin	137
Anuar Mohamed Tuhami	143
Miguel Trauco	146
CJ Hamilton	134
Marc Bola	145
Cecilio Domínguez	146
Jorge Carrascal	154
Jesús Gallardo	151
Ángel González	146
Emiliano Amor	146
Roger Krug Guedes	154
Mohamed Fares	145
André Filipe Luz Horta	151
Leonardo da Silva Lopes	147
Daniel Harvie	133
Alejandro Zendejas	144
Sebastián Saucedo	139
Jakub Jankto	149
Vitor Hugo Franchescoli Souza	154
Diego Valoyes	151
Rubén Duarte Sánchez	157
Pape Cheikh Diop	143
Víctor Ignacio Malcorra	144
Jeremiah St. Juste	156
Gonzalo Melero Manzanares	152
Fábio Gonçalves Abreu	146
Favio Álvarez	138
Jodi Jones	137
Shayon Harrison	127
Mërgim Vojvoda	148
Jamie Sterry	129
Connor Ronan	141
Dimitry Bertaud	151
Dries Wouters	145
Kevin Vázquez Comesaña	142
Oussama Idrissi	153
Antonio José Raillo Arenas	146
Aleix García Serrano	148
Jeando Fuchs	142
Dion Cools	140
Karim Onisiwo	148
Nathan De Medina	138
James Clarke	124
Vangelis Pavlidis	155
William de Asevedo Furtado	147
Oscar Linnér	145
Unai Bilbao Arteta	144
Waldemar Anton	153
David Mayoral Lastras	139
Mykola Matvienko	152
Sergio Guardiola Navarro	144
Yong Hwan Kim	132
Jae Sung Lee	152
Colby Bishop	136
Yairo Moreno	145
Hélder Wander Sousa Azevedo Costa	150
Erik Thommy	142
Carlos Martín Vigaray	143
Josh Onomah	143
Youssouf Koné	143
Arkadiusz Kasperkiewicz	128
Cyriel Dessers	149
Albian Ajeti	142
Unai López Cabrera	155
Dominic Ball	140
Morten Thorsby	153
Louis Reed	133
Marvin Friedrich	158
Harry Isted	123
Efthymios Koulouris	142
Leopold Zingerle	140
Leonel López	145
Benson Manuel	149
Malcom Filipe Silva de Oliveira	171
Jon Nolan	124
Uğur Çiftçi	138
Franco Cervi	150
Ulisses Garcia	145
Lionel Mpasi	139
Oğulcan Çağlayan	142
Jonathan Renato Barbosa	144
Sérgio Henrique Francisco	140
Timo Baumgartl	151
Marvin Egho	129
Paul Bernardoni	157
Perry Ng	143
Alex Palmer	137
Samuel Bastien	147
Aaron Leya Iseka	141
Paolo Fernándes Cantin	141
Sergi Canós Tenés	147
Lewie Coyle	139
Dyego Wilverson Ferreira Sousa	154
Josh Vickers	135
Tyronne Ebuehi	142
François Kamano	150
Lewis Cook	152
Andy Cannon	133
Bentley Baxter Bahn	136
Yeimar Gómez Andrade	152
Gethin Jones	131
Zeki Çelik	157
Hongbo Yin	128
Jorge Rodríguez	155
Kevin Diks	149
Steve Mounié	147
Dom Telford	134
Rafael António Figueiredo Ramos	141
Adrián Marín Gómez	149
Daniel Grimshaw	137
Jean-Luc Dompé	143
Lorenzo Montipò	152
Christian Mathenia	146
José Manuel García Naranjo	136
Ayoze Pérez Gutiérrez	154
David Jason Remeseiro Salgueiro	146
Ramiro Moschen Benetti	146
Renaud Emond	136
Tin Jedvaj	151
Luis Cárdenas	138
Duncan Watmore	136
Phillipp Mwene	148
Leandro de Medeiros Silva	132
Connor Randall	127
Jean Zimmer	134
Wallace Fortuna Santos	144
Jean Michaël Seri	148
Wendell Nascimento Borges	150
Gregor Zabret	132
Léo Dubois	153
Patrik Carlgren	140
Andre Blake	154
Sargis Adamyan	148
Clésio Baúque	134
Dominic Iorfa	138
Luís Rafael Soares Alves	145
Reece Brown	137
Michał Helik	147
Vyacheslav Karavaev	149
Julián Fernández	140
Erik Palmer-Brown	147
Conor Shaughnessy	135
Yony González	148
Bruno Miguel Semedo Varela	150
Baptiste Santamaria	151
David Costas Cordal	147
Oli McBurnie	144
Connor Mahoney	139
Dillon Phillips	143
Joseba Zaldúa Bengoetxea	154
Nicolás Orsini	146
Brandon Barker	137
Abdoul Karim Cissé	128
Óscar Romero	152
Mattia Caldara	150
Gennaro Tutino	143
Victor Pagliari Giro	130
Andrija Živković	156
Ryan Thomas	147
Antonio Čolak	144
Franck Honorat	156
Niclas Eliasson	145
Harry Kyprianou	124
Mislav Oršić	152
Jonathan Gradit	150
Miloš Veljković	149
Fabiano Leismann	138
Lei Wu	150
Alexander Mesa Travieso	134
Luciano Acosta	151
Joakim Nilsson	149
Björn Engels	150
Edison Flores	139
Ben Osborn	144
Rubén García Santos	158
Olarenwaju Kayode	142
Alexandru Maxim	148
Callum McGregor	154
Rubén Blanco Veiga	152
Rubén Peña Jiménez	158
Daniel Santa	126
Marco Benassi	144
Sofiane Boufal	152
Tyler Boyd	138
Kevin Akpoguma	152
Lazar Marković	150
Darko Lazović	152
Andreas Vindheim	139
Przemysław Frankowski	151
Max Meyer	147
Brandon Mechele	153
Richairo Živković	139
Augusto Solari	146
Tobias Pereira Figueiredo	139
Yannick Gerhardt	152
Ivan Ricardo Cavaleiro	144
John Souttar	144
Davie Selke	143
Jorrit Hendrix	147
Wylan Cyprien	145
Hernâni Jorge Santos Fortes	146
Jimmy Cabot	150
Roberto Suárez Pier	147
Roman Zobnin	153
Matheus Simoneti Bressaneli	139
William Troost-Ekong	144
Jevani Brown	129
Jonathan Osorio	146
Alan Ruiz	138
Juan Cornejo	134
Donald Love	124
Matty Willock	121
Mikael Uhre	147
Thiago Henrique Mendes Ribeiro	152
Sam Gallagher	141
Kwasi Wriedt	137
Daniel Bocanegra	144
Esteban Pavez	140
Antony Silva	152
Mauricio Cuero	144
Jesper Karlström	144
Juan Ramírez	148
Christian Cueva	148
Diego Orellana	120
Leandro Benegas	138
Brahian Alemán	144
Baily Cargill	130
Walter Benítez	162
Cristian Menéndez	138
Gerónimo Rulli	162
Paulo Gazzaniga	150
Karim Rekik	151
Jordan Archer	134
Soualiho Meïté	150
Jorge Djaniny Tavares Semedo	148
Niclas Füllkrug	150
Isaac Vassell	126
Edin Višća	162
Esteban Andrada	158
João Paulo Mior	150
Ezgjan Alioski	146
Patricio Gabarrón Gil	149
Amato Ciciretti	146
Paul Nardi	151
Luka Milivojević	150
Taras Stepanenko	156
Will Hughes	151
Christy Pym	126
Philipp Hofmann	146
Sergio Rico González	154
Jürgen Damm	140
Felipe Martins	136
Robin Olsen	150
Paulo Henrique Soares dos Santos	143
Tobias Strobl	148
Andreas Linde	149
Aitor García Flores	142
Murray Wallace	140
Lucas Torró Marset	151
Lars Veldwijk	140
Petros Mantalos	154
Andreas Samaris	146
Jonas Hector	156
Lukas Kübler	144
Oumar Niasse	136
Robin Quaison	150
Hiroki Sakai	148
Hörður Magnússon	147
Alfie Mawson	142
Alfred Duncan	148
Mathias Bossaerts	136
Óliver Torres Muñoz	155
Adrien Thomasson	154
Derlis González	148
Florian Tardieu	144
Joey Pelupessy	136
Eugenio Mena	154
Bryan Rabello	139
Kevin Wimmer	138
Jhon Córdoba	154
Ibrahima Mbaye	143
Juan Pablo Vigón	150
Charalampos Lykogiannis	136
Ridgeciano Haps	150
Salem Al Dawsari	152
Jordi Quintillà Guasch	144
Kevin Mbabu	155
Kortney Hause	152
André Rømer	139
Marcel Halstenberg	156
Juan Guilherme Nunes Jesus	148
Liam Moore	136
Carl Jenkinson	134
Matty Kosylo	102
Nicolas De Préville	144
Nick Powell	146
Agustín Marchesín	160
Ravel Morrison	138
Frederik Rønnow	148
Bashkim Kadrii	138
Álvaro Vázquez García	134
George Moncur	134
Faouzi Ghoulam	150
Pierre Sagna	134
Nemanja Nikolić	138
Ahmed Musa	144
Diego Fagundez	140
Carl Winchester	132
Cristiano Piccini	148
Danny Amankwaa	125
Jonathan Schmid	150
Remo Freuler	160
Will Bruin	134
Darlington Nagbe	152
Michael Boxall	138
Stuart Armstrong	154
Timmy Chandler	146
Aleix Vidal Parreu	152
Jose Ignacio Peleteiro Ramallo	144
Jérôme Roussillon	152
Igor Caique Coronado	154
Richard Boateng	136
Jesús Joaquín Fernández Sáez	160
Willy Boly	156
Connor Ripley	126
Nathan Byrne	140
Long Tan	134
Alpaslan Öztürk	141
Christian Kouakou	131
Thomas Monconduit	144
Ellis Harrison	128
Weverson L. De Oliveira Moura	144
Jamaal Lascelles	151
Iván Balliu	148
Florian Hübner	142
Thomas Delaine	146
Matt Smith	132
Damián Suárez	156
Bruno Zuculini	148
Gabriel Hauche	148
Lucas Andersen	146
Kenny Lala	148
Jakub Brabec	148
Koray Günter	154
Bouna Sarr	148
Cuco Martina	132
Charlie Taylor	152
Youssef Toutouh	126
Álvaro Vadillo Cifuentes	140
Iván Sánchez Aguayo	144
Víctor Ruiz Torre	156
Steven Caulker	146
Younès Belhanda	146
Asier Villalibre Molina	153
Conor Hourihane	148
Filip Đuričić	150
Sam Clucas	142
Tom Fisher	102
Adam Forshaw	146
Jack Colback	132
Judilson Mamadu Tuncará Gomes	140
Andre Gray	144
Kevin Long	142
Fredrik Ulvestad	140
Yuto Nagatomo	142
Tiago Miguel Baía Pinto	150
Fransérgio Rodrigues Barbosa	156
John Marquis	130
Javier López Rodríguez	142
Rafael Schuler Crivellaro	138
Yaroslav Rakitskyi	160
José Pedro Fuenzalida	148
Serdar Gürler	146
Oğuzhan Özyakup	144
Marvin Ducksch	148
Conor McAleny	124
Mattia Perin	161
Joaquín Navarro Jiménez	148
Patrick Herrmann	146
Marco Höger	138
Leandro Bacuna	136
Jonathan Viera Ramos	158
Josip Drmić	140
Joe Shaughnessy	130
Joe Corona	138
Vincent Pajot	142
Kévin Malcuit	148
Vincent Aboubakar	154
Anselmo Ramon Alves Erculano	144
Domagoj Vida	154
Ilja Nestorovski	142
Anthony Losilla	148
Jaroslav Zelený	144
Taulant Xhaka	142
Ramiro Funes Mori	144
Leandro González Pirez	146
Erik Sviatchenko	152
Gernot Trauner	156
Felicio Brown Forbes	130
Sonny Kittel	148
Adama Touré	132
Ramón Rodríguez da Silva	116
Antoni Sarcevic	130
Josip Iličić	164
Max Power	136
Alexander Merkel	136
Adam Davies	142
Benjamin Lecomte	159
Matt Ritchie	148
Cristhian Stuani	152
Fernando Navarro	150
Lars Stindl	160
Miguel Jiménez	132
Igor Smolnikov	156
Jair Pereira	140
Ignacio Camacho Barnola	148
Diogo Filipe Guerreiro Viana	128
Ante Budimir	154
Mohamed Diamé	146
Aleksandar Dragović	152
Aron Gunnarsson	138
Marcel Risse	136
Sebastian Rudy	152
Francis Coquelin	160
Alexander Esswein	134
Shinji Kagawa	146
Filipe Figueiró	126
Dennis Diekmeier	140
Ariel Nahuelpan	132
Damián Díaz	152
José Antonio Ríos Reina	140
Aaron Cresswell	158
Fábio Pereira da Silva	144
Vicente Guaita Panadero	158
Francisco Femenía Far	148
James Vincent	124
Yannis Salibur	138
Nzuzi Toko	126
Oscar De Marcos Arana	154
David Cornell	128
Ryan McGowan	134
Kamil Glik	144
Asier Illarramendi	158
Henrik Dalsgaard	142
Mike Frantz	134
Stefan Strandberg	136
Gustavo Fernández	130
Pascal Groß	154
Sean Johnson	146
Celso Borges	148
Tomás Rincón	144
Jóhann Berg Guðmundsson	146
Connor Wickham	132
Sébastien Corchia	144
Diego Reyes	141
Late Gao	158
Gary Gardner	136
Rafael Cabral Barbosa	136
George Donnelly	112
Kevin Vogt	152
Maxime Le Marchand	144
Marco Rojas	136
Jens Stryger Larsen	152
Scott Malone	144
Ömer Bayram	136
Christopher Trimmel	154
Chris Mavinga	140
Karl Darlow	150
Tarik Elyounoussi	134
Micah Richards	136
Urby Emanuelson	128
Owain Fôn Williams	126
James McKeown	124
Jonatan Maidana	146
Eljero Elia	148
Domenico Criscito	152
Sergio Romero	156
Héctor Moreno	152
Kyle McFadzean	140
Marcus Berg	150
Marcelo Díaz	152
Bryan Ruíz	152
Daniel Marques da Silva	137
Demba Ba	144
Nicolas Feldhahn	120
Ruben Yttergård Jenssen	134
Filipe Morais	124
Papiss Demba Cissé	138
Greg Tansey	130
Clément Chantôme	136
Miguel Luís Pinto Veloso	152
Paul Turnbull	111
Esteban Granero Molina	158
Etienne Capoue	158
Miguel Layún	144
Erik Pieters	146
Ralf Fährmann	142
David Luiz Moreira Marinho	158
Sung Yueng Ki	148
Albin Ekdal	150
 João Victor	135
David Stockdale	138
Mark Beevers	134
Mitchell Langerak	144
Martín Cáceres	150
Tiago André Coelho Lopes	136
Mathieu Baudry	120
Marc Albrighton	152
Valentin Stocker	144
Fabien Lemoine	144
Miguel Ángel Cordero Sánchez	130
Neven Subotić	142
Nils Petersen	148
Angelo Ogbonna	160
Martin Kelly	148
Sandro Wagner	154
Bruno Soriano Llido	152
Mark Ellis	124
Younousse Sankharé	138
Romain Alessandrini	150
Ádám Bogdán	128
Luke Daniels	136
Luis Montes	152
Chris Martin	136
José María Callejón Bueno	154
Péter Gulácsi	170
Jordon Mutch	126
Gaël Kakuta	154
Júlio César Soares Espíndola	160
Allan McGregor	150
Andrea Dossena	136
Patrice Evra	150
Tim Wiese	136
Bobby Zamora	142
Lee Grant	130
Rob Green	140
Michael Jackson	129
Patrick Owomoyela	140
Adriano Leite Ribeiro	146
Lucimar da Silva Ferreira	152
 Romero	162
Mauricio Pinilla	142
David Martin	128
Alexander Walke	136
Stephan Andersen	122
Alex Rodrigo Dias da Costa	158
Joey Barton	150
Germán Villa	144
Roberto Abbondanzieri	155
Willy Caballero	146
Robbie Williams	116
Antonio Mirante	148
David Marshall	136
Ragnar Klavan	142
Michael Duff	138
Lisandro López	146
Roberto Soldado Rillo	150
Mikel Vesga Arruti	150
Ciprian Marica	138
Alex Cordaz	144
José Sand	148
Ronald Raldes	140
Alejandro Faurlín	138
Martin Cranie	132
Guillaume Hoarau	132
Iván Vázquez	132
Raphaël Livramento	124
Melitón Hernández	128
Sejad Salihović	144
Scott Dann	142
